"","player","nationality","position","squad","age","league","goals","Season"
"951","Gonzalo Higuaín","ar ARG","FW","Juventus",29,"Serie A",16,"201718#"
"952","Kyriakos Papadopoulos","gr GRE","DF","Hamburger SV",25,"Bundesliga",1,"201718#"
"953","Younousse Sankharé","sn SEN","MF","Bordeaux",27,"Ligue 1",7,"201718#"
"954","Stephan Lichtsteiner","ch SUI","DF","Juventus",33,"Serie A",0,"201718#"
"955","Pablo Hernández","cl CHI","MF","Celta Vigo",30,"La Liga",3,"201718#"
"956","Janik Haberer","de GER","MF,FW","Freiburg",23,"Bundesliga",3,"201718#"
"957","Carlo Pinsoglio","it ITA","GK","Juventus",27,"Serie A",0,"201718#"
"958","Andrea Ranocchia","it ITA","DF","Inter",29,"Serie A",2,"201718#"
"959","Alex Sandro","br BRA","DF","Juventus",26,"Serie A",4,"201718#"
"960","Álex Granell","es ESP","MF","Girona",28,"La Liga",1,"201718#"
"961","Tin Jedvaj","hr CRO","DF","Leverkusen",21,"Bundesliga",0,"201718#"
"962","Leonardo Bittencourt","de GER","MF,FW","Köln",23,"Bundesliga",5,"201718#"
"963","Christian Clemens","de GER","MF,FW","Köln",25,"Bundesliga",1,"201718#"
"964","Jhon Córdoba","co COL","FW","Köln",24,"Bundesliga",0,"201718#"
"965","Chris Führich","de GER","MF,FW","Köln",19,"Bundesliga",0,"201718#"
"966","Tim Handwerker","de GER","DF,MF","Köln",19,"Bundesliga",0,"201718#"
"967","Jonas Hector","de GER","DF,MF","Köln",27,"Bundesliga",2,"201718#"
"968","Vlad Chiricheș","ro ROU","DF","Napoli",27,"Serie A",0,"201718#"
"969","Marco Höger","de GER","MF","Köln",27,"Bundesliga",0,"201718#"
"970","Jannes Horn","de GER","DF","Köln",20,"Bundesliga",0,"201718#"
"971","Timo Horn","de GER","GK","Köln",24,"Bundesliga",0,"201718#"
"972","Lukas Klünter","de GER","DF,FW","Köln",21,"Bundesliga",1,"201718#"
"973","Dennis Geiger","de GER","MF","Hoffenheim",19,"Bundesliga",2,"201718#"
"974","Matthias Lehmann","de GER","MF","Köln",34,"Bundesliga",0,"201718#"
"975","Lorenzo Tonelli","it ITA","DF","Napoli",27,"Serie A",1,"201718#"
"976","Aritz Elustondo","es ESP","DF","Real Sociedad",23,"La Liga",3,"201718#"
"977","Marco Parolo","it ITA","MF","Lazio",32,"Serie A",4,"201718#"
"978","Yuya Osako","jp JPN","FW,MF","Köln",27,"Bundesliga",4,"201718#"
"979","Anas Ouahim","de GER","FW","Köln",19,"Bundesliga",0,"201718#"
"980","José Campaña","es ESP","MF","Levante",24,"La Liga",1,"201718#"
"981","Claudio Pizarro","pe PER","FW,MF","Köln",38,"Bundesliga",1,"201718#"
"982","Konstantin Rausch","ru RUS","DF","Köln",27,"Bundesliga",0,"201718#"
"983","Birk Risa","no NOR","FW,DF","Köln",19,"Bundesliga",0,"201718#"
"984","Marcel Risse","de GER","DF,MF","Köln",27,"Bundesliga",1,"201718#"
"985","Simon Terodde","de GER","FW","Köln",29,"Bundesliga",5,"201718#"
"986","Simon Zoller","de GER","MF,FW","Köln",26,"Bundesliga",2,"201718#"
"987","Gabriel Mercado","ar ARG","DF","Sevilla",30,"La Liga",0,"201718#"
"988","Florin Andone","ro ROU","FW","La Coruña",24,"La Liga",7,"201718#"
"989","Jan Bednarek","pl POL","DF","Southampton",21,"Premier League",1,"201718#"
"990","Zakaria Bakkali","be BEL","FW,MF","La Coruña",21,"La Liga",0,"201718#"
"991","Dominik Kohr","de GER","MF","Leverkusen",23,"Bundesliga",1,"201718#"
"992","Eneko Bóveda","es ESP","DF","La Coruña",28,"La Liga",0,"201718#"
"993","Mohamed Diamé","sn SEN","MF","Newcastle Utd",30,"Premier League",2,"201718#"
"994","Bruno Gama","pt POR","FW,MF","La Coruña",29,"La Liga",0,"201718#"
"995","Carles Gil","es ESP","FW,MF","La Coruña",24,"La Liga",0,"201718#"
"996","Guilherme","br BRA","MF","La Coruña",26,"La Liga",0,"201718#"
"997","Juanfran","es ESP","DF","La Coruña",28,"La Liga",0,"201718#"
"998","Maksym Koval","ua UKR","GK,MF","La Coruña",24,"La Liga",0,"201718#"
"999","Joel Obi","ng NGA","MF","Torino",26,"Serie A",5,"201718#"
"1000","Adrián López","es ESP","FW,MF","La Coruña",29,"La Liga",9,"201718#"
"1001","Luisinho","pt POR","DF","La Coruña",32,"La Liga",1,"201718#"
"1002","Edimilson Fernandes","ch SUI","MF,FW","West Ham",21,"Premier League",0,"201718#"
"1003","Yannick Gerhardt","de GER","DF,MF","Wolfsburg",23,"Bundesliga",1,"201718#"
"1004","Fernando Navarro","es ESP","DF","La Coruña",35,"La Liga",0,"201718#"
"1005","Costel Pantilimon","ro ROU","GK","La Coruña",30,"La Liga",0,"201718#"
"1006","Lucas Pérez","es ESP","FW","La Coruña",28,"La Liga",8,"201718#"
"1007","André Ramalho","br BRA","DF,FW","Leverkusen",25,"Bundesliga",0,"201718#"
"1008","Bakaye Dibassy","ml MLI","DF","Amiens",27,"Ligue 1",1,"201718#"
"1009","Francis Uzoho","ng NGA","GK","La Coruña",18,"La Liga",0,"201718#"
"1010","Gerard Valentín","es ESP","DF,FW","La Coruña",24,"La Liga",0,"201718#"
"1011","Borja Valle","es ESP","FW,MF","La Coruña",25,"La Liga",3,"201718#"
"1012","Bryan Dabo","bf BFA","MF","Fiorentina",25,"Serie A",1,"201718#"
"1013","Matías Aguirregaray","uy URU","DF","Las Palmas",28,"La Liga",0,"201718#"
"1014","Lukas Rupp","de GER","MF","Hoffenheim",26,"Bundesliga",3,"201718#"
"1015","Sergio Araujo","ar ARG","FW,MF","Las Palmas",25,"La Liga",0,"201718#"
"1016","Tyrone Mings","eng ENG","DF","Bournemouth",24,"Premier League",0,"201718#"
"1017","Simon Falette","gn GUI","DF","Eint Frankfurt",25,"Bundesliga",1,"201718#"
"1018","Jonathan Calleri","ar ARG","FW","Las Palmas",23,"La Liga",9,"201718#"
"1019","Dani Castellano","es ESP","DF","Las Palmas",29,"La Liga",0,"201718#"
"1020","Javi Castellano","es ESP","MF","Las Palmas",29,"La Liga",0,"201718#"
"1021","Leandro Chichizola","ar ARG","GK","Las Palmas",27,"La Liga",0,"201718#"
"1022","Danny Latza","de GER","MF","Mainz 05",27,"Bundesliga",2,"201718#"
"1023","Erik Expósito","es ESP","FW","Las Palmas",21,"La Liga",1,"201718#"
"1024","Imoh Ezekiel","ng NGA","FW,MF","Las Palmas",23,"La Liga",0,"201718#"
"1025","Jonás Ramalho","es ESP","DF","Girona",24,"La Liga",0,"201718#"
"1026","Nacho Gil","es ESP","FW,MF","Las Palmas",21,"La Liga",0,"201718#"
"1027","Vicente Gómez","es ESP","MF","Las Palmas",28,"La Liga",0,"201718#"
"1028","Bryan Dabo","bf BFA","MF,FW","Saint-Étienne",25,"Ligue 1",2,"201718#"
"1029","Borja Herrera","es ESP","DF","Las Palmas",24,"La Liga",0,"201718#"
"1030","Jordan Torunarigha","de GER","DF,MF","Hertha BSC",19,"Bundesliga",1,"201718#"
"1031","Raúl Lizoain","es ESP","GK","Las Palmas",26,"La Liga",0,"201718#"
"1032","Momo","es ESP","FW,MF","Las Palmas",35,"La Liga",0,"201718#"
"1033","Ximo Navarro","es ESP","DF","Las Palmas",27,"La Liga",0,"201718#"
"1034","Beñat Etxebarria","es ESP","MF","Athletic Club",30,"La Liga",0,"201718#"
"1035","Benito Ramírez","es ESP","FW,MF","Las Palmas",22,"La Liga",0,"201718#"
"1036","Loïc Rémy","fr FRA","FW","Las Palmas",30,"La Liga",5,"201718#"
"1037","Sergi Samper","es ESP","MF","Las Palmas",22,"La Liga",0,"201718#"
"1038","Jairo Samperio","es ESP","FW,DF","Las Palmas",24,"La Liga",0,"201718#"
"1039","David Simón","es ESP","DF","Las Palmas",28,"La Liga",0,"201718#"
"1040","Tana","es ESP","MF,FW","Las Palmas",26,"La Liga",1,"201718#"
"1041","Oussama Tannane","ma MAR","FW,MF","Las Palmas",23,"La Liga",0,"201718#"
"1042","Hernán Toledo","ar ARG","FW,MF","Las Palmas",21,"La Liga",0,"201718#"
"1043","Jonathan Viera","es ESP","MF","Las Palmas",27,"La Liga",4,"201718#"
"1044","Vitolo","es ESP","FW,MF","Las Palmas",27,"La Liga",1,"201718#"
"1045","Luis Alberto","es ESP","MF,FW","Lazio",24,"Serie A",11,"201718#"
"1046","Felipe Anderson","br BRA","MF,FW","Lazio",24,"Serie A",4,"201718#"
"1047","Lisandro López","ar ARG","DF","Inter",27,"Serie A",0,"201718#"
"1048","Sidnei","br BRA","DF","La Coruña",27,"La Liga",1,"201718#"
"1049","Felipe Caicedo","ec ECU","FW","Lazio",28,"Serie A",3,"201718#"
"1050","Davide Di Gennaro","it ITA","MF","Lazio",29,"Serie A",0,"201718#"
"1051","Aymen Abdennour","tn TUN","DF","Marseille",27,"Ligue 1",0,"201718#"
"1052","Ciro Immobile","it ITA","FW","Lazio",27,"Serie A",29,"201718#"
"1053","Lucas Leiva","br BRA","MF","Lazio",30,"Serie A",2,"201718#"
"1054","Jordan Lukaku","be BEL","DF,MF","Lazio",23,"Serie A",1,"201718#"
"1055","Simon Falette","gn GUI","DF","Metz",25,"Ligue 1",0,"201718#"
"1056","Danilo Cataldi","it ITA","MF","Benevento",22,"Serie A",1,"201718#"
"1057","Nani","pt POR","MF,FW","Lazio",30,"Serie A",3,"201718#"
"1058","Simone Palombi","it ITA","FW","Lazio",21,"Serie A",0,"201718#"
"1059","Andrea Poli","it ITA","MF","Bologna",27,"Serie A",2,"201718#"
"1060","Maxime Le Marchand","fr FRA","DF","Nice",27,"Ligue 1",0,"201718#"
"1061","Thomas Strakosha","al ALB","GK","Lazio",22,"Serie A",0,"201718#"
"1062","Héctor Moreno","mx MEX","DF","Real Sociedad",29,"La Liga",1,"201718#"
"1063","Mexer","mz MOZ","DF","Rennes",28,"Ligue 1",0,"201718#"
"1064","Nordin Amrabat","ma MAR","FW,MF","Leganés",30,"La Liga",2,"201718#"
"1065","Jon Ander Serantes","es ESP","GK","Leganés",27,"La Liga",0,"201718#"
"1066","Miguel Ángel Guerrero","es ESP","FW","Leganés",27,"La Liga",4,"201718#"
"1067","Claudio Beauvue","GPE","FW","Leganés",29,"La Liga",2,"201718#"
"1068","Héctor Moreno","mx MEX","DF","Roma",29,"Serie A",0,"201718#"
"1069","Nereo Champagne","ar ARG","GK","Leganés",32,"La Liga",0,"201718#"
"1070","Iván Cuéllar","es ESP","GK","Leganés",33,"La Liga",0,"201718#"
"1071","Loïc Perrin","fr FRA","DF","Saint-Étienne",31,"Ligue 1",0,"201718#"
"1072","Gabriel","br BRA","MF","Leganés",23,"La Liga",5,"201718#"
"1073","Raúl García","es ESP","DF","Leganés",28,"La Liga",0,"201718#"
"1074","Gerard Gumbau","es ESP","MF","Leganés",22,"La Liga",1,"201718#"
"1075","Kévin Théophile-Catherine","fr FRA","DF","Saint-Étienne",27,"Ligue 1",0,"201718#"
"1076","Erik Morán","es ESP","MF","Leganés",26,"La Liga",0,"201718#"
"1077","Lyanco","br BRA","DF","Torino",20,"Serie A",0,"201718#"
"1078","Rubén Pérez","es ESP","MF","Leganés",28,"La Liga",0,"201718#"
"1079","Omar Ramos","es ESP","FW,MF","Leganés",29,"La Liga",0,"201718#"
"1080","Diego Rico","es ESP","DF","Leganés",24,"La Liga",2,"201718#"
"1081","Tito","es ESP","DF","Leganés",32,"La Liga",0,"201718#"
"1082","Nabil El Zhar","ma MAR","FW,MF","Leganés",30,"La Liga",2,"201718#"
"1083","Marc Albrighton","eng ENG","MF,FW","Leicester City",27,"Premier League",2,"201718#"
"1084","Daniel Amartey","gh GHA","DF","Leicester City",22,"Premier League",0,"201718#"
"1085","Harvey Barnes","eng ENG","MF,FW","Leicester City",19,"Premier League",0,"201718#"
"1086","Sebastian Prödl","at AUT","DF","Watford",30,"Premier League",0,"201718#"
"1087","Ben Chilwell","eng ENG","DF","Leicester City",20,"Premier League",0,"201718#"
"1088","Hamza Choudhury","eng ENG","MF","Leicester City",19,"Premier League",0,"201718#"
"1089","Fousseni Diabaté","ml MLI","MF,FW","Leicester City",21,"Premier League",0,"201718#"
"1090","Christian Fuchs","at AUT","DF","Leicester City",31,"Premier League",0,"201718#"
"1091","Demarai Gray","eng ENG","MF,FW","Leicester City",21,"Premier League",3,"201718#"
"1092","Ben Hamer","eng ENG","GK","Leicester City",29,"Premier League",0,"201718#"
"1093","Valentín Vada","ar ARG","MF,FW","Bordeaux",21,"Ligue 1",2,"201718#"
"1094","Kelechi Iheanacho","ng NGA","FW,MF","Leicester City",20,"Premier League",3,"201718#"
"1095","Dani García","es ESP","MF","Eibar",27,"La Liga",0,"201718#"
"1096","Joan Jordán","es ESP","MF","Eibar",23,"La Liga",6,"201718#"
"1097","Romain Thomas","fr FRA","DF","Angers",29,"Ligue 1",2,"201718#"
"1098","Riyad Mahrez","dz ALG","MF,FW","Leicester City",26,"Premier League",12,"201718#"
"1099","Ragnar Klavan","ee EST","DF","Liverpool",31,"Premier League",1,"201718#"
"1100","Wilfred Ndidi","ng NGA","MF","Leicester City",20,"Premier League",0,"201718#"
"1101","Shinji Okazaki","jp JPN","MF,FW","Leicester City",31,"Premier League",6,"201718#"
"1102","Kasper Schmeichel","dk DEN","GK","Leicester City",30,"Premier League",0,"201718#"
"1103","Daniel Bessa","it ITA","MF","Genoa",24,"Serie A",2,"201718#"
"1104","Danny Simpson","eng ENG","DF","Leicester City",30,"Premier League",0,"201718#"
"1105","Islam Slimani","dz ALG","FW","Leicester City",29,"Premier League",1,"201718#"
"1106","Leonardo Ulloa","ar ARG","FW","Leicester City",31,"Premier League",0,"201718#"
"1107","Jamie Vardy","eng ENG","FW","Leicester City",30,"Premier League",20,"201718#"
"1108","Aly Abeid","mr MTN","DF","Levante",19,"La Liga",0,"201718#"
"1109","Enis Bardhi","mk MKD","MF","Levante",22,"La Liga",9,"201718#"
"1110","Emmanuel Boateng","gh GHA","FW","Levante",21,"La Liga",6,"201718#"
"1111","Tony Jantschke","de GER","DF","M'Gladbach",27,"Bundesliga",0,"201718#"
"1112","Clément Grenier","fr FRA","MF","Guingamp",26,"Ligue 1",5,"201718#"
"1113","Pedro Mendes","pt POR","DF","Montpellier",26,"Ligue 1",1,"201718#"
"1114","Coke","es ESP","DF","Levante",30,"La Liga",3,"201718#"
"1115","Cheick Doukouré","ci CIV","MF","Levante",24,"La Liga",1,"201718#"
"1116","Raúl Fernández","es ESP","GK","Levante",29,"La Liga",0,"201718#"
"1117","Samu García","es ESP","MF,FW","Levante",27,"La Liga",0,"201718#"
"1118","Jason","es ESP","MF,FW","Levante",23,"La Liga",1,"201718#"
"1119","Jefferson Lerma","co COL","MF","Levante",22,"La Liga",0,"201718#"
"1120","Iván López","es ESP","DF","Levante",23,"La Liga",0,"201718#"
"1121","José Luis Morales","es ESP","MF,FW","Levante",30,"La Liga",10,"201718#"
"1122","Antonio Luna","es ESP","DF","Levante",26,"La Liga",0,"201718#"
"1123","Roger Martí","es ESP","FW","Levante",26,"La Liga",3,"201718#"
"1124","Fahad Al-Muwallad","sa KSA","FW,MF","Levante",20,"La Liga",0,"201718#"
"1125","Oier Olazábal","es ESP","GK","Levante",27,"La Liga",0,"201718#"
"1126","Giampaolo Pazzini","it ITA","FW","Levante",32,"La Liga",1,"201718#"
"1127","Koffi Djidji","ci CIV","DF","Nantes",24,"Ligue 1",0,"201718#"
"1128","Rubén Rochina","es ESP","MF","Levante",26,"La Liga",1,"201718#"
"1129","Armando Sadiku","al ALB","FW","Levante",26,"La Liga",0,"201718#"
"1130","Toño","es ESP","DF","Levante",27,"La Liga",0,"201718#"
"1131","Enes Ünal","tr TUR","FW","Levante",20,"La Liga",1,"201718#"
"1132","Koke Vegas","es ESP","GK","Levante",21,"La Liga",0,"201718#"
"1133","Lucas Alario","ar ARG","FW","Leverkusen",24,"Bundesliga",9,"201718#"
"1134","Daniel Bessa","it ITA","MF,FW","Hellas Verona",24,"Serie A",1,"201718#"
"1135","Leon Bailey","jm JAM","FW,DF","Leverkusen",19,"Bundesliga",9,"201718#"
"1136","Julian Baumgartlinger","at AUT","MF,DF","Leverkusen",29,"Bundesliga",1,"201718#"
"1137","Karim Bellarabi","de GER","FW,MF","Leverkusen",27,"Bundesliga",1,"201718#"
"1138","Lars Bender","de GER","DF,MF","Leverkusen",28,"Bundesliga",2,"201718#"
"1139","Nicolas Pallois","fr FRA","DF","Nantes",29,"Ligue 1",0,"201718#"
"1140","Julian Brandt","de GER","FW,MF","Leverkusen",21,"Bundesliga",9,"201718#"
"1141","Kai Havertz","de GER","MF,FW","Leverkusen",18,"Bundesliga",3,"201718#"
"1142","Benjamin Henrichs","de GER","DF","Leverkusen",20,"Bundesliga",0,"201718#"
"1143","Kyle Bartley","eng ENG","DF","Swansea City",26,"Premier League",0,"201718#"
"1144","Per Ciljan Skjelbred","no NOR","MF","Hertha BSC",30,"Bundesliga",0,"201718#"
"1145","Borja Valero","es ESP","MF","Inter",32,"Serie A",2,"201718#"
"1146","Bernd Leno","de GER","GK","Leverkusen",25,"Bundesliga",0,"201718#"
"1147","Admir Mehmedi","ch SUI","DF,MF","Leverkusen",26,"Bundesliga",2,"201718#"
"1148","Ramazan Özcan","at AUT","GK","Leverkusen",33,"Bundesliga",0,"201718#"
"1149","Joel Pohjanpalo","fi FIN","MF,FW","Leverkusen",22,"Bundesliga",1,"201718#"
"1150","Miguel Britos","uy URU","DF","Watford",32,"Premier League",1,"201718#"
"1151","Craig Cathcart","nir NIR","DF","Watford",28,"Premier League",0,"201718#"
"1152","Robin Knoche","de GER","DF","Wolfsburg",25,"Bundesliga",1,"201718#"
"1153","Kevin Volland","de GER","FW,MF","Leverkusen",25,"Bundesliga",14,"201718#"
"1154","Wendell","br BRA","DF","Leverkusen",24,"Bundesliga",2,"201718#"
"1155","Konstantinos Mavropanos","gr GRE","DF,MF","Arsenal",19,"Premier League",0,"201718#"
"1156","Ibrahim Amadou","fr FRA","MF,DF","Lille",24,"Ligue 1",0,"201718#"
"1157","Luiz Araújo","br BRA","FW,MF","Lille",21,"Ligue 1",5,"201718#"
"1158","Farès Bahlouli","fr FRA","MF,FW","Lille",22,"Ligue 1",1,"201718#"
"1159","Fodé Ballo-Touré","fr FRA","DF","Lille",20,"Ligue 1",0,"201718#"
"1160","Yassine Benzia","dz ALG","MF,FW","Lille",22,"Ligue 1",1,"201718#"
"1161","Vincent Koziello","fr FRA","MF","Köln",21,"Bundesliga",1,"201718#"
"1162","Andrea Masiello","it ITA","DF","Atalanta",31,"Serie A",4,"201718#"
"1163","Imad Faraj","ma MAR","DF,MF","Lille",18,"Ligue 1",0,"201718#"
"1164","Anwar El Ghazi","nl NED","FW,MF","Lille",22,"Ligue 1",4,"201718#"
"1165","Zouhair Feddal","ma MAR","DF","Betis",28,"La Liga",3,"201718#"
"1166","Hervé Koffi","bf BFA","GK","Lille",20,"Ligue 1",0,"201718#"
"1167","Celso Borges","cr CRC","MF","La Coruña",29,"La Liga",3,"201718#"
"1168","Thiago Maia","br BRA","MF,DF","Lille",20,"Ligue 1",0,"201718#"
"1169","Mike Maignan","fr FRA","GK","Lille",21,"Ligue 1",0,"201718#"
"1170","Kévin Malcuit","ma MAR","DF","Lille",26,"Ligue 1",0,"201718#"
"1171","Thiago Mendes","br BRA","MF","Lille",25,"Ligue 1",3,"201718#"
"1172","Hamza Mendyl","ma MAR","DF,MF","Lille",19,"Ligue 1",0,"201718#"
"1173","Lebo Mothiba","za RSA","FW","Lille",21,"Ligue 1",5,"201718#"
"1174","Nicolas Pépé","ci CIV","FW,MF","Lille",22,"Ligue 1",13,"201718#"
"1175","Ezequiel Ponce","ar ARG","FW","Lille",20,"Ligue 1",2,"201718#"
"1176","Nicolas de Préville","fr FRA","FW","Lille",26,"Ligue 1",2,"201718#"
"1177","Pablo","br BRA","DF","Bordeaux",26,"Ligue 1",0,"201718#"
"1178","Boubakary Soumaré","fr FRA","MF","Lille",18,"Ligue 1",0,"201718#"
"1179","Jordan Ferri","fr FRA","MF","Lyon",25,"Ligue 1",0,"201718#"
"1180","Trent Alexander-Arnold","eng ENG","DF","Liverpool",18,"Premier League",1,"201718#"
"1181","Emre Can","de GER","MF","Liverpool",23,"Premier League",3,"201718#"
"1182","Nathaniel Clyne","eng ENG","DF,MF","Liverpool",26,"Premier League",0,"201718#"
"1183","Philippe Coutinho","br BRA","MF,FW","Liverpool",25,"Premier League",7,"201718#"
"1184","Andreu Fontàs","es ESP","DF","Celta Vigo",27,"La Liga",0,"201718#"
"1185","Roberto Firmino","br BRA","FW","Liverpool",25,"Premier League",15,"201718#"
"1186","Paulo Oliveira","pt POR","DF","Eibar",25,"La Liga",0,"201718#"
"1187","Clément Grenier","fr FRA","MF","Lyon",26,"Ligue 1",0,"201718#"
"1188","Danny Ings","eng ENG","FW","Liverpool",25,"Premier League",1,"201718#"
"1189","Loris Karius","de GER","GK","Liverpool",24,"Premier League",0,"201718#"
"1190","Rick van Drongelen","nl NED","DF","Hamburger SV",18,"Bundesliga",0,"201718#"
"1191","Adam Lallana","eng ENG","MF,FW","Liverpool",29,"Premier League",0,"201718#"
"1192","Gideon Jung","de GER","MF,DF","Hamburger SV",22,"Bundesliga",1,"201718#"
"1193","Sadio Mané","sn SEN","FW,MF","Liverpool",25,"Premier League",10,"201718#"
"1194","Simon Mignolet","be BEL","GK","Liverpool",29,"Premier League",0,"201718#"
"1195","Vincent Koziello","fr FRA","MF","Nice",21,"Ligue 1",0,"201718#"
"1196","Alberto Moreno","es ESP","DF","Liverpool",25,"Premier League",0,"201718#"
"1197","Divock Origi","be BEL","FW","Liverpool",22,"Premier League",0,"201718#"
"1198","Steven Davis","nir NIR","MF","Southampton",32,"Premier League",3,"201718#"
"1199","Andrew Robertson","sco SCO","DF","Liverpool",23,"Premier League",1,"201718#"
"1200","Mohamed Salah","eg EGY","FW,MF","Liverpool",25,"Premier League",32,"201718#"
"1201","Dominic Solanke","eng ENG","FW","Liverpool",19,"Premier League",1,"201718#"
"1202","Daniel Sturridge","eng ENG","FW","Liverpool",27,"Premier League",2,"201718#"
"1203","James Morrison","sco SCO","MF","West Brom",31,"Premier League",1,"201718#"
"1204","Ben Woodburn","wal WAL","MF","Liverpool",17,"Premier League",0,"201718#"
"1205","Bongani Zungu","za RSA","MF","Amiens",24,"Ligue 1",1,"201718#"
"1206","Maxwel Cornet","ci CIV","FW,MF","Lyon",20,"Ligue 1",4,"201718#"
"1207","Angelo Fulgini","fr FRA","MF,FW","Angers",20,"Ligue 1",3,"201718#"
"1208","Memphis Depay","nl NED","FW,MF","Lyon",23,"Ligue 1",19,"201718#"
"1209","Fabian Schär","ch SUI","DF","La Coruña",25,"La Liga",2,"201718#"
"1210","Nabil Fekir","fr FRA","MF,FW","Lyon",24,"Ligue 1",18,"201718#"
"1211","Thomas Mangani","fr FRA","MF","Angers",30,"Ligue 1",2,"201718#"
"1212","Willem Geubbels","fr FRA","FW","Lyon",15,"Ligue 1",0,"201718#"
"1213","Mathieu Gorgelin","fr FRA","GK","Lyon",26,"Ligue 1",0,"201718#"
"1214","Amine Gouiri","fr FRA","FW,MF","Lyon",17,"Ligue 1",0,"201718#"
"1215","Dan Gosling","eng ENG","MF","Bournemouth",27,"Premier League",2,"201718#"
"1216","Anthony Lopes","pt POR","GK","Lyon",26,"Ligue 1",0,"201718#"
"1217","Myziane Maolida","fr FRA","FW","Lyon",18,"Ligue 1",1,"201718#"
"1218","Marcelo","br BRA","DF","Lyon",30,"Ligue 1",3,"201718#"
"1219","Ferland Mendy","fr FRA","DF","Lyon",22,"Ligue 1",0,"201718#"
"1220","Wes Morgan","jm JAM","DF","Leicester City",33,"Premier League",0,"201718#"
"1221","Rafael","br BRA","DF","Lyon",27,"Ligue 1",1,"201718#"
"1222","Kenny Tete","nl NED","DF","Lyon",21,"Ligue 1",1,"201718#"
"1223","Lucas Tousart","fr FRA","MF","Lyon",20,"Ligue 1",0,"201718#"
"1224","Bertrand Traoré","bf BFA","FW","Lyon",21,"Ligue 1",13,"201718#"
"1225","Edgar Ié","pt POR","DF","Lille",23,"Ligue 1",1,"201718#"
"1226","Borja Bastón","es ESP","FW","Málaga",24,"La Liga",2,"201718#"
"1227","Adama Soumaoro","fr FRA","DF","Lille",25,"Ligue 1",0,"201718#"
"1228","Alberto Bueno","es ESP","FW,MF","Málaga",29,"La Liga",0,"201718#"
"1229","Chory Castro","uy URU","MF,FW","Málaga",32,"La Liga",4,"201718#"
"1230","Víctor Sánchez","es ESP","DF,MF","Espanyol",29,"La Liga",0,"201718#"
"1231","Youssef En-Nesyri","ma MAR","FW","Málaga",20,"La Liga",4,"201718#"
"1232","Samu García","es ESP","MF,FW","Málaga",27,"La Liga",0,"201718#"
"1233","Oscar Hiljemark","se SWE","MF","Genoa",25,"Serie A",0,"201718#"
"1234","Mapou Yanga-Mbiwa","fr FRA","DF","Lyon",28,"Ligue 1",0,"201718#"
"1235","Alexander Hack","de GER","DF","Mainz 05",23,"Bundesliga",1,"201718#"
"1236","Brown Ideye","ng NGA","FW","Málaga",28,"La Liga",1,"201718#"
"1237","Manuel Iturra","cl CHI","MF","Málaga",33,"La Liga",0,"201718#"
"1238","Jony","es ESP","MF,FW","Málaga",26,"La Liga",0,"201718#"
"1239","Juankar","es ESP","DF","Málaga",27,"La Liga",0,"201718#"
"1240","Mehdi Lacen","dz ALG","MF","Málaga",33,"La Liga",0,"201718#"
"1241","Maxime Lestienne","be BEL","MF,FW","Málaga",25,"La Liga",0,"201718#"
"1242","Raúl Navas","es ESP","DF","Real Sociedad",29,"La Liga",0,"201718#"
"1243","Álex Mula","es ESP","MF,FW","Málaga",21,"La Liga",0,"201718#"
"1244","Adalberto Peñaranda","ve VEN","FW,MF","Málaga",20,"La Liga",0,"201718#"
"1245","Andrés Prieto","es ESP","GK","Málaga",23,"La Liga",0,"201718#"
"1246","Jonathan Hogg","eng ENG","MF","Huddersfield",28,"Premier League",0,"201718#"
"1247","Federico Ricca","uy URU","DF","Málaga",22,"La Liga",0,"201718#"
"1248","Roberto","es ESP","GK","Málaga",31,"La Liga",0,"201718#"
"1249","Diego Rolán","uy URU","FW,MF","Málaga",24,"La Liga",5,"201718#"
"1250","Esteban Rolón","ar ARG","MF","Málaga",22,"La Liga",0,"201718#"
"1251","Roberto Rosales","ve VEN","DF","Málaga",28,"La Liga",1,"201718#"
"1252","Isaac Success","ng NGA","MF,FW","Málaga",21,"La Liga",0,"201718#"
"1253","Miguel Torres","es ESP","DF","Málaga",31,"La Liga",0,"201718#"
"1254","René Adler","de GER","GK","Mainz 05",32,"Bundesliga",0,"201718#"
"1255","Ridle Baku","de GER","MF","Mainz 05",19,"Bundesliga",2,"201718#"
"1256","Edoardo Goldaniga","it ITA","DF","Sassuolo",23,"Serie A",1,"201718#"
"1257","Riechedly Bazoer","nl NED","MF","Wolfsburg",20,"Bundesliga",0,"201718#"
"1258","Emil Berggreen","dk DEN","FW","Mainz 05",24,"Bundesliga",4,"201718#"
"1259","Pablo de Blasis","ar ARG","FW,MF","Mainz 05",29,"Bundesliga",5,"201718#"
"1260","Daniel Brosinski","de GER","DF,MF","Mainz 05",29,"Bundesliga",1,"201718#"
"1261","Federico Ceccherini","it ITA","DF","Crotone",25,"Serie A",1,"201718#"
"1262","Giulio Donati","it ITA","DF,MF","Mainz 05",27,"Bundesliga",0,"201718#"
"1263","Viktor Fischer","dk DEN","FW,MF","Mainz 05",23,"Bundesliga",0,"201718#"
"1264","Fabian Frei","ch SUI","MF","Mainz 05",28,"Bundesliga",1,"201718#"
"1265","Jean-Philippe Gbamin","ci CIV","MF,DF","Mainz 05",21,"Bundesliga",1,"201718#"
